Date,Open,High,Low,Close,Adj Close,Volume
2017-07-28,11.240000,11.670000,11.140000,11.440000,11.440000,0
2017-07-31,11.440000,11.970000,11.440000,11.610000,11.610000,0
2017-08-01,11.610000,11.610000,11.260000,11.280000,11.280000,0
2017-08-02,11.280000,11.890000,11.180000,11.240000,11.240000,0
2017-08-03,11.240000,11.350000,10.970000,11.310000,11.310000,0
2017-08-04,10.880000,11.290000,10.760000,10.870000,10.870000,0
2017-08-07,10.870000,11.000000,10.690000,10.730000,10.730000,0
2017-08-08,10.550000,11.160000,10.360000,11.100000,11.100000,0
2017-08-09,11.100000,12.600000,11.100000,12.310000,12.310000,0
2017-08-10,12.310000,13.570000,12.310000,13.430000,13.430000,0
2017-08-11,13.430000,13.540000,12.980000,13.450000,13.450000,0
2017-08-14,12.330000,12.330000,11.760000,12.110000,12.110000,0
2017-08-15,11.620000,12.370000,11.170000,12.200000,12.200000,0
2017-08-16,12.200000,12.680000,11.390000,12.580000,12.580000,0
2017-08-17,12.260000,13.360000,11.960000,13.340000,13.340000,0
2017-08-18,13.340000,13.940000,12.010000,12.120000,12.120000,0
2017-08-21,12.960000,13.140000,12.740000,13.010000,13.010000,0
2017-08-22,13.010000,13.010000,12.270000,12.490000,12.490000,0
2017-08-23,12.710000,12.830000,12.390000,12.680000,12.680000,0
2017-08-24,12.680000,12.770000,12.260000,12.760000,12.760000,0
2017-08-25,12.760000,15.600000,12.570000,12.630000,12.630000,0
2017-08-28,12.630000,14.210000,12.630000,14.200000,14.200000,0
2017-08-29,14.200000,15.030000,13.130000,13.500000,13.500000,0
2017-08-30,13.500000,13.500000,12.770000,12.780000,12.780000,0
2017-08-31,12.780000,13.430000,11.860000,13.260000,13.260000,0
2017-09-01,13.230000,13.260000,12.430000,12.730000,12.730000,0
2017-09-05,12.730000,15.540000,12.730000,14.300000,14.300000,0
2017-09-06,14.440000,14.450000,13.970000,14.170000,14.170000,0
2017-09-07,14.170000,15.680000,13.960000,14.490000,14.490000,0
2017-09-08,14.230000,14.250000,13.420000,13.770000,13.770000,0
2017-09-11,13.520000,13.640000,12.880000,13.280000,13.280000,0
2017-09-12,13.280000,13.280000,11.560000,11.560000,11.560000,0
2017-09-13,11.510000,12.070000,11.190000,11.980000,11.980000,0
2017-09-14,12.050000,12.330000,11.640000,12.190000,12.190000,0
2017-09-15,12.190000,12.490000,11.840000,12.060000,12.060000,0
2017-09-18,12.320000,12.710000,12.190000,12.690000,12.690000,0
2017-09-19,12.260000,12.340000,12.160000,12.270000,12.270000,0
2017-09-20,12.270000,17.440001,11.660000,12.320000,12.320000,0
2017-09-21,12.320000,12.580000,11.890000,12.190000,12.190000,0
2017-09-22,12.190000,12.820000,12.030000,12.370000,12.370000,0
2017-09-25,12.370000,13.950000,12.370000,13.770000,13.770000,0
2017-09-26,13.770000,13.770000,12.400000,13.320000,13.320000,0
2017-09-27,13.130000,13.270000,12.620000,12.990000,12.990000,0
2017-09-28,12.990000,12.990000,11.570000,11.750000,11.750000,0
2017-09-29,11.750000,11.820000,11.270000,11.770000,11.770000,0
2017-10-02,11.720000,12.020000,11.540000,11.720000,11.720000,0
2017-10-03,11.720000,11.730000,11.360000,11.380000,11.380000,0
2017-10-04,11.380000,11.780000,11.350000,11.410000,11.410000,0
2017-10-05,11.370000,11.470000,11.120000,11.400000,11.400000,0
2017-10-06,11.270000,11.880000,11.080000,11.530000,11.530000,0
2017-10-09,11.530000,11.970000,11.530000,11.960000,11.960000,0
2017-10-10,12.070000,12.240000,12.000000,12.220000,12.220000,0
2017-10-11,12.220000,14.680000,11.810000,12.130000,12.130000,0
2017-10-12,12.350000,12.470000,11.780000,11.820000,11.820000,0
2017-10-13,11.820000,11.980000,11.540000,11.760000,11.760000,0
2017-10-16,11.760000,12.200000,11.760000,12.130000,12.130000,0
2017-10-17,12.160000,12.230000,11.490000,11.640000,11.640000,0
2017-10-18,11.640000,11.970000,11.510000,11.880000,11.880000,0
2017-10-19,12.000000,12.020000,11.760000,11.940000,11.940000,0
2017-10-20,11.730000,12.110000,11.460000,11.490000,11.490000,0
2017-10-23,11.460000,11.720000,10.950000,11.690000,11.690000,0
2017-10-24,11.380000,11.800000,11.310000,11.730000,11.730000,0
2017-10-25,11.730000,12.170000,11.420000,12.020000,12.020000,0
2017-10-26,11.480000,11.730000,11.400000,11.620000,11.620000,0
2017-10-27,11.590000,11.730000,11.180000,11.480000,11.480000,0
2017-10-30,11.480000,12.050000,11.480000,11.740000,11.740000,0
2017-10-31,11.740000,11.850000,11.620000,11.810000,11.810000,0
2017-11-01,11.810000,11.900000,11.320000,11.800000,11.800000,0
