Date,Open,High,Low,Close,Adj Close,Volume
2017-07-28,15.830000,16.969999,15.660000,15.910000,15.910000,0
2017-07-31,15.910000,16.980000,15.740000,15.870000,15.870000,0
2017-08-01,15.860000,16.129999,14.790000,14.830000,14.830000,0
2017-08-02,14.810000,16.340000,14.180000,14.610000,14.610000,0
2017-08-03,14.610000,15.320000,14.290000,14.690000,14.690000,0
2017-08-04,14.870000,14.890000,14.050000,14.090000,14.090000,0
2017-08-07,14.090000,14.550000,13.960000,14.210000,14.210000,0
2017-08-08,14.410000,15.490000,13.860000,15.230000,15.230000,0
2017-08-09,15.230000,16.270000,15.230000,15.430000,15.430000,0
2017-08-10,16.650000,19.320000,16.270000,19.059999,19.059999,0
2017-08-11,19.059999,19.059999,17.530001,17.770000,17.770000,0
2017-08-14,16.930000,16.940001,14.730000,15.060000,15.060000,0
2017-08-15,15.180000,15.300000,14.200000,14.360000,14.360000,0
2017-08-16,14.360000,14.700000,13.890000,14.220000,14.220000,0
2017-08-17,15.120000,18.629999,14.710000,18.600000,18.600000,0
2017-08-18,18.600000,19.070000,16.670000,17.850000,17.850000,0
2017-08-21,18.090000,18.650000,17.080000,17.370001,17.370001,0
2017-08-22,17.370001,17.370001,14.940000,15.210000,15.210000,0
2017-08-23,15.970000,16.309999,15.400000,15.800000,15.800000,0
2017-08-24,15.800000,16.790001,15.580000,15.970000,15.970000,0
2017-08-25,15.960000,15.990000,15.170000,15.520000,15.520000,0
2017-08-28,15.520000,16.200001,15.170000,15.180000,15.180000,0
2017-08-29,15.180000,16.750000,15.180000,15.980000,15.980000,0
2017-08-30,15.970000,16.379999,15.040000,15.120000,15.120000,0
2017-08-31,15.110000,15.110000,14.230000,14.330000,14.330000,0
2017-09-01,14.270000,14.470000,13.980000,14.100000,14.100000,0
2017-09-05,14.100000,17.410000,14.100000,16.129999,16.129999,0
2017-09-06,15.970000,16.490000,15.440000,15.560000,15.560000,0
2017-09-07,15.560000,15.770000,15.140000,15.400000,15.400000,0
2017-09-08,15.610000,16.370001,15.380000,16.070000,16.070000,0
2017-09-11,15.160000,15.220000,13.660000,14.070000,14.070000,0
2017-09-12,14.070000,14.090000,13.340000,13.370000,13.370000,0
2017-09-13,14.160000,14.300000,12.770000,12.800000,12.800000,0
2017-09-14,13.690000,13.820000,12.590000,13.400000,13.400000,0
2017-09-15,13.400000,13.760000,12.210000,12.510000,12.510000,0
2017-09-18,13.220000,13.990000,12.580000,13.610000,13.610000,0
2017-09-19,13.630000,14.000000,13.260000,13.300000,13.300000,0
2017-09-20,13.300000,14.780000,13.300000,13.420000,13.420000,0
2017-09-21,13.420000,14.390000,13.420000,13.710000,13.710000,0
2017-09-22,13.700000,14.290000,13.700000,13.810000,13.810000,0
2017-09-25,13.810000,16.400000,13.810000,15.650000,15.650000,0
2017-09-26,15.640000,15.930000,14.860000,15.280000,15.280000,0
2017-09-27,14.930000,15.510000,14.710000,15.320000,15.320000,0
2017-09-28,15.320000,15.920000,14.980000,14.980000,14.980000,0
2017-09-29,14.980000,14.980000,13.800000,13.850000,13.850000,0
2017-10-02,14.220000,14.290000,13.740000,13.880000,13.880000,0
2017-10-03,13.880000,14.240000,13.610000,13.620000,13.620000,0
2017-10-04,13.620000,13.970000,13.390000,13.450000,13.450000,0
2017-10-05,13.280000,13.520000,12.860000,12.880000,12.880000,0
2017-10-06,13.290000,13.680000,13.090000,13.330000,13.330000,0
2017-10-09,13.330000,14.180000,13.330000,14.040000,14.040000,0
2017-10-10,14.130000,14.620000,13.920000,14.290000,14.290000,0
2017-10-11,14.290000,14.600000,14.090000,14.090000,14.090000,0
2017-10-12,14.360000,14.660000,14.060000,14.330000,14.330000,0
2017-10-13,14.330000,14.330000,13.820000,13.970000,13.970000,0
2017-10-16,13.970000,14.910000,13.970000,14.490000,14.490000,0
2017-10-17,14.840000,14.940000,14.400000,14.400000,14.400000,0
2017-10-18,14.400000,14.560000,14.050000,14.320000,14.320000,0
2017-10-19,15.280000,15.970000,14.620000,14.640000,14.640000,0
2017-10-20,14.640000,14.680000,14.150000,14.320000,14.320000,0
2017-10-23,15.040000,15.790000,14.740000,15.740000,15.740000,0
2017-10-24,15.680000,16.120001,15.150000,15.510000,15.510000,0
2017-10-25,15.510000,17.030001,15.420000,16.309999,16.309999,0
2017-10-26,16.570000,16.959999,15.820000,15.820000,15.820000,0
2017-10-27,15.390000,15.420000,14.160000,14.300000,14.300000,0
2017-10-30,14.300000,15.450000,14.300000,15.050000,15.050000,0
2017-10-31,15.050000,15.290000,14.830000,15.060000,15.060000,0
2017-11-01,15.060000,15.520000,14.790000,14.950000,14.950000,0
2017-11-02,15.160000,15.270000,14.650000,14.700000,14.700000,0
2017-11-03,14.700000,14.730000,13.770000,13.900000,13.900000,0
2017-11-06,14.510000,14.510000,13.850000,13.900000,13.900000,0
2017-11-07,14.110000,14.210000,13.790000,14.120000,14.120000,0
2017-11-08,14.120000,14.450000,13.960000,14.060000,14.060000,0
2017-11-09,14.940000,16.250000,14.800000,15.040000,15.040000,0
2017-11-10,15.040000,15.660000,14.930000,15.030000,15.030000,0
2017-11-13,16.010000,16.010000,14.680000,14.840000,14.840000,0
2017-11-14,14.840000,16.250000,14.840000,15.000000,15.000000,0
2017-11-15,16.160000,16.910000,15.650000,16.090000,16.090000,0
2017-11-16,16.080000,16.080000,14.070000,14.310000,14.310000,0
2017-11-17,14.330000,14.510000,13.640000,13.790000,13.790000,0
2017-11-20,13.790000,14.430000,13.720000,13.820000,13.820000,0
2017-11-21,13.750000,13.750000,12.780000,12.780000,12.780000,0
2017-11-22,12.840000,12.910000,12.670000,12.740000,12.740000,0
2017-11-24,13.190000,13.190000,12.340000,12.380000,12.380000,0
2017-11-27,13.240000,13.270000,12.920000,13.040000,13.040000,0
2017-11-28,13.210000,13.670000,13.040000,13.410000,13.410000,0
2017-11-29,13.500000,16.730000,13.500000,16.379999,16.379999,0
2017-11-30,15.830000,16.639999,15.530000,15.930000,15.930000,0
2017-12-01,15.930000,20.680000,15.830000,16.570000,16.570000,0
2017-12-04,16.150000,18.080000,15.920000,18.030001,18.030001,0
2017-12-05,18.020000,18.469999,16.410000,17.120001,17.120001,0
2017-12-06,17.139999,17.790001,16.520000,16.709999,16.709999,0
2017-12-07,16.709999,16.900000,15.860000,15.860000,15.860000,0
2017-12-08,15.860000,15.860000,14.420000,14.420000,14.420000,0
2017-12-11,13.910000,13.910000,11.820000,12.590000,12.590000,0
2017-12-12,12.960000,13.850000,12.070000,12.860000,12.860000,0
2017-12-13,12.880000,12.900000,12.000000,12.740000,12.740000,0
2017-12-14,12.740000,13.260000,12.070000,12.390000,12.390000,0
2017-12-15,12.380000,12.990000,11.670000,11.880000,11.880000,0
2017-12-18,11.860000,12.650000,11.860000,12.530000,12.530000,0
2017-12-19,12.530000,13.060000,12.410000,12.820000,12.820000,0
2017-12-20,13.120000,13.380000,12.720000,12.780000,12.780000,0
2017-12-21,13.140000,13.140000,12.250000,12.650000,12.650000,0
2017-12-22,13.120000,13.140000,12.480000,12.540000,12.540000,0
2017-12-26,14.330000,14.350000,13.560000,13.640000,13.640000,0
2017-12-27,14.060000,14.440000,13.750000,14.290000,14.290000,0
2017-12-28,14.290000,14.660000,14.120000,14.620000,14.620000,0
2017-12-29,14.760000,15.890000,14.720000,15.680000,15.680000,0
2018-01-02,16.150000,16.270000,14.870000,14.930000,14.930000,0
2018-01-03,14.930000,14.950000,13.850000,14.160000,14.160000,0
2018-01-04,14.060000,14.560000,13.720000,13.970000,13.970000,0
2018-01-05,13.860000,14.100000,13.460000,13.480000,13.480000,0
2018-01-08,13.930000,14.340000,13.750000,13.840000,13.840000,0
2018-01-09,13.840000,14.630000,13.840000,14.630000,14.630000,0
2018-01-10,14.630000,15.660000,14.630000,15.280000,15.280000,0
2018-01-11,15.280000,15.640000,14.740000,14.770000,14.770000,0
2018-01-12,15.400000,15.530000,14.530000,14.570000,14.570000,0
2018-01-16,14.570000,17.170000,14.570000,16.340000,16.340000,0
2018-01-17,16.330000,16.719999,15.930000,16.200001,16.200001,0
2018-01-18,16.200001,17.120001,16.190001,16.950001,16.950001,0
2018-01-19,16.969999,17.090000,15.970000,16.150000,16.150000,0
2018-01-22,17.000000,17.020000,16.190001,16.290001,16.290001,0
2018-01-23,16.290001,17.320000,16.290001,16.750000,16.750000,0
2018-01-24,16.780001,18.709999,16.780001,17.900000,17.900000,0
2018-01-25,17.900000,18.559999,17.809999,18.250000,18.250000,0
2018-01-26,18.120001,18.219999,17.520000,17.520000,17.520000,0
2018-01-29,18.260000,19.570000,18.180000,19.219999,19.219999,0
2018-01-30,20.370001,20.709999,19.400000,20.350000,20.350000,0
2018-01-31,20.340000,20.340000,19.070000,19.650000,19.650000,0
